outid,count,opfare
1401044249,31,528
1401054101,17,410
1401054102,36,438
1401054103,51,601
1401054104,30,953
1401054105,35,561
1401054106,56,875
1401054107,22,307
1401054108,44,611
1401054110,51,873
1401054111,48,856
1401054112,60,1190
1401054113,37,602
1401054114,38,424
1401054116,55,904
1401054117,49,857
1401054118,63,1030
1401054119,34,448
1401054120,50,996
1401054121,27,977
1401054122,37,575
1401054123,35,421
1401054124,48,634
1401054125,57,759
1401054126,17,118
1401054127,28,432
1401054128,24,195
1401054129,53,1090
1401054130,35,382
1401054131,28,172
1401054132,37,535
1401054133,47,1124
1401054134,67,1005
1401054135,21,187
1401054136,38,859
1401054137,30,868
1401054139,43,954
1401054140,17,135
1401054141,49,982
1401054142,44,1052
1401054143,34,372
1401054144,46,652
1401054145,17,251
1401054146,52,790
1401054147,9,48
1401054149,40,740
1401054151,26,153
1401054152,51,715
1401054153,45,650
1401054154,42,588
1401054155,31,473
1401054201,1,6
1401054202,33,472
1401054204,34,338
1401054205,43,477
1401054207,28,163
1401054208,39,637
1401054210,40,444
1401054211,43,454
1401054212,33,415
1401054213,40,884
1401054214,30,489
1401054215,56,1119
1401054216,35,836
1401054217,45,1242
1401054218,44,554
1401054219,17,119
1401054220,40,823
1401054221,50,1208
1401054222,36,507
1401054223,25,569
1401054224,61,944
1401054226,45,888
1401054227,34,654
1401054228,20,324
1401054230,35,829
1401054232,31,362
1401054233,35,798
1401054234,10,57
1401054235,46,739
1401054236,36,732
1401054237,43,1536
1401054238,41,723
1401054239,48,807
1401054240,37,1054
1401054242,19,320
1401054243,44,546
1401054244,61,901
1401054245,41,411
1401054247,54,696
1401054249,51,954
1401054250,39,889
1401054252,32,829
1401054254,6,17
1401064101,33,420
1401064102,43,618
1401064103,40,733
1401064104,36,477
1401064105,47,920
1401064106,57,964
1401064107,51,580
1401064108,52,1059
1401064109,38,1033
1401064110,16,221
1401064111,36,378
1401064112,31,956
1401064113,39,1428
1401064114,22,175
1401064115,28,440
1401064116,49,633
1401064117,30,339
1401064118,18,238
1401064119,36,1031
1401064120,57,834
1401064121,23,213
1401064122,13,100
1401064123,34,793
1401064124,26,598
1401064125,32,954
1401064126,26,348
1401064129,30,402
1401064130,43,478
1401064131,6,30
1401064132,54,1284
1401064133,58,1233
1401064134,22,392
1401064135,51,821
1401064136,54,1285
1401064137,27,208
1401064138,35,659
1401064139,46,1390
1401064140,25,1335
1401064141,29,323
1401064143,33,1260
1401064144,29,475
1401064145,39,605
1401064146,52,1385
1401064148,41,505
1401064149,32,391
1401064150,4,10
1401064201,26,286
1401064202,27,390
1401064203,36,404
1401064204,33,480
1401064205,26,479
1401064206,41,391
1401064207,37,678
1401064208,25,341
1401064209,32,441
1401064210,31,511
1401064211,42,1007
1401064212,48,752
1401064213,41,574
1401064214,28,707
1401064215,18,164
1401064216,38,533
1401064217,24,442
1401064218,37,464
1401064219,49,826
1401064220,18,120
1401064221,39,400
1401064222,45,694
1401064223,46,895
1401064224,35,486
1401064226,34,645
1401064227,33,552
1401064228,30,596
1401064229,35,342
1401064230,32,511
1401064231,31,661
1401064232,48,1040
1401064233,35,995
1401064234,29,535
1401064235,40,1172
1401064236,8,25
1401064237,74,1144
1401064238,31,354
